metro,metro id,store_id,latitude,longitude,radius_from_starting_points,percentage
San Antonio,61,5711,29.566,-98.3275,5,13.78
San Antonio,61,4861,29.4956,-98.4812,5,26.64
San Antonio,61,4163,29.6086,-98.4605,5,14.57
San Diego,57,4051,32.8065,-117.1164,6.2,82.3
San Diego,57,6585,32.6388,-117.048,6.2,17.7
San Francisco,1,7769,37.7546,-122.419,3.5,100
San Jose,4,4736,37.3402,-121.9083,4.8,49.52
San Jose,4,6028,37.4734,-122.2174,4.8,36.44
San Jose,4,707,37.3739,-122.053,4.8,14.04
Santa Monica,6,710,34.0552,-118.3837,4.5,87.17
Santa Monica,6,3805,33.9011,-118.3828,4.5,12.83
Seattle,13,2871,47.7761,-122.3419,7.8,34.61
Seattle,13,3086,47.5864,-122.2356,7.8,65.39
Tampa,65,4713,28.0281,-82.548,5.5,35.17
Tampa,65,4622,28.0114,-82.7315,5.5,21.1
Tampa,65,4269,27.7937,-82.7334,5.5,19.45
Tampa,65,4624,27.9426,-82.3363,5.5,24.28
" D.C.""",8,4794,38.9153,-77.0461,4.6,57.22
" D.C.""",8,2766,38.9163,-77.234,4.6,21.92
" D.C.""",8,5294,38.8086,-77.1258,4.6,15.1
" D.C.""",8,2270,38.9926,-76.8795,4.6,5.76
Wayne NJ,11,2447,40.89,-74.2507,6.6,68.72
Wayne NJ,11,2448,40.916,-74.0715,6.6,31.28
Yonkers,49,4290,40.8609,-73.8913,4.6,100
